"community","community_name","community_size","outside_community_size","artist_index","mbid","artist_name","musicbrainz_url","users_in_community","within_community_prevalence","users_outside_community","outside_community_prevalence","global_user_degree","global_prevalence","prevalence_difference","smoothed_prevalence_ratio","smoothed_log_odds_ratio","community_event_count","community_event_share","share_of_artist_users_from_community","share_of_artist_events_from_community","eligible_as_distinctive","distinctive_rank","representative_rank","representative_selection_basis"
1,"C1",224,287,30,"b91f0973-002e-4237-a39f-c7e02e786e53","Architecture In Helsinki","https://musicbrainz.org/artist/b91f0973-002e-4237-a39f-c7e02e786e53",64,0.285714285714286,128,0.445993031358885,192,0.37573385518591,-0.160278745644599,0.642490272373541,-0.695513700878719,2299,0.00149588485265306,0.333333333333333,0.242638522427441,FALSE,NA,1,"most_prevalent_fallback"
1,"C1",224,287,15,"eaf6a7ca-105d-4a94-ba02-8c3e4040319a","Rilo Kiley","https://musicbrainz.org/artist/eaf6a7ca-105d-4a94-ba02-8c3e4040319a",64,0.285714285714286,136,0.473867595818815,200,0.391389432485323,-0.18815331010453,0.604835164835165,-0.807367708443934,4158,0.00270547595360219,0.32,0.360155911650065,FALSE,NA,2,"most_prevalent_fallback"
1,"C1",224,287,12,"3d2b98e5-556f-4451-a3ff-c50ea18d57cb","Aerosmith","https://musicbrainz.org/artist/3d2b98e5-556f-4451-a3ff-c50ea18d57cb",64,0.285714285714286,138,0.480836236933798,202,0.395303326810176,-0.195121951219512,0.596101083032491,-0.835202651564996,1401,0.000911585332130032,0.316831683168317,0.316753334840606,FALSE,NA,3,"most_prevalent_fallback"
1,"C1",224,287,5,"e3e0abcd-7671-4482-a9d8-462f5acc9be5","Incubus","https://musicbrainz.org/artist/e3e0abcd-7671-4482-a9d8-462f5acc9be5",64,0.285714285714286,139,0.484320557491289,203,0.397260273972603,-0.198606271777004,0.591827956989247,-0.84910836178701,1868,0.00121544710950671,0.315270935960591,0.134050950843201,FALSE,NA,4,"most_prevalent_fallback"
1,"C1",224,287,11,"c485632c-b784-4ee9-8ea1-c5fb365681fc","Mgmt","https://musicbrainz.org/artist/c485632c-b784-4ee9-8ea1-c5fb365681fc",63,0.28125,139,0.484320557491289,202,0.395303326810176,-0.203070557491289,0.582652329749104,-0.870944879782731,2260,0.00147050881557022,0.311881188118812,0.254304039608417,FALSE,NA,5,"most_prevalent_fallback"
2,"C2",73,438,240,"8e05a404-3f8d-4b0a-9fc2-b7ab821b75f0","The Rakes","https://musicbrainz.org/artist/8e05a404-3f8d-4b0a-9fc2-b7ab821b75f0",58,0.794520547945205,78,0.178082191780822,136,0.26614481409002,0.616438356164384,4.42098467894646,2.85258006224925,2072,0.00184786340793458,0.426470588235294,0.55504955799625,TRUE,1,1,"distinctive_prevalence"
2,"C2",73,438,48,"0cf9d983-aecf-4d57-9e94-fde2beac014f","The Futureheads","https://musicbrainz.org/artist/0cf9d983-aecf-4d57-9e94-fde2beac014f",64,0.876712328767123,122,0.278538812785388,186,0.36399217221135,0.598173515981735,3.12360728075014,2.86458563679468,3772,0.00336396755537124,0.344086021505376,0.51035042619402,TRUE,2,2,"distinctive_prevalence"
2,"C2",73,438,217,"1c89bbcc-a253-452a-9181-546eb536e06f","Art Brut","https://musicbrainz.org/artist/1c89bbcc-a253-452a-9181-546eb536e06f",57,0.780821917808219,83,0.189497716894977,140,0.273972602739726,0.591324200913242,4.08520796245347,2.69710318428326,2509,0.00223759135642271,0.407142857142857,0.565217391304348,TRUE,3,3,"distinctive_prevalence"
2,"C2",73,438,56,"8a396a9c-2e4f-47e2-a587-c26e93a0953f","The Go! Team","https://musicbrainz.org/artist/8a396a9c-2e4f-47e2-a587-c26e93a0953f",63,0.863013698630137,120,0.273972602739726,183,0.35812133072407,0.589041095890411,3.12621958057643,2.77163737081668,2101,0.00187372636103791,0.344262295081967,0.432037836726301,TRUE,4,4,"distinctive_prevalence"
2,"C2",73,438,205,"92e634a7-6023-4be8-be15-ebba822f5b34","Maxïmo Park","https://musicbrainz.org/artist/92e634a7-6023-4be8-be15-ebba822f5b34",57,0.780821917808219,85,0.194063926940639,142,0.277886497064579,0.58675799086758,3.98964754227912,2.66779167629068,3501,0.00312228271775046,0.401408450704225,0.402969613259669,TRUE,5,5,"distinctive_prevalence"
3,"C3",68,443,476,"541f16f5-ad7a-428e-af89-9fa1b16d3c9c","Pantera","https://musicbrainz.org/artist/541f16f5-ad7a-428e-af89-9fa1b16d3c9c",51,0.75,52,0.117381489841986,103,0.201565557729941,0.632618510158014,6.31221532091097,3.0885532725735,5245,0.00374091873255248,0.495145631067961,0.92897626638328,TRUE,1,1,"distinctive_prevalence"
3,"C3",68,443,312,"4bb4e4e4-5f66-4509-98af-62dbb90c45c5","Disturbed","https://musicbrainz.org/artist/4bb4e4e4-5f66-4509-98af-62dbb90c45c5",53,0.779411764705882,69,0.155756207674944,122,0.238747553816047,0.623655557030939,4.95339380669378,2.92310668036329,2808,0.00200276449971542,0.434426229508197,0.531918924038644,TRUE,2,2,"distinctive_prevalence"
3,"C3",68,443,1003,"a63df8c3-28e4-41db-bac2-c6c6e8ff8f28","Type O Negative","https://musicbrainz.org/artist/a63df8c3-28e4-41db-bac2-c6c6e8ff8f28",43,0.63235294117647,24,0.054176072234763,67,0.131115459882583,0.578176868941708,11.4250221827862,3.37447289428684,7234,0.00515954358651757,0.641791044776119,0.954731424046456,TRUE,3,3,"distinctive_prevalence"
3,"C3",68,443,111,"b2d122f9-eadb-4930-a196-8f221eeb0c66","Rammstein","https://musicbrainz.org/artist/b2d122f9-eadb-4930-a196-8f221eeb0c66",56,0.823529411764706,109,0.246049661399549,165,0.322896281800391,0.577479750365157,3.320230295811,2.62522432415587,7521,0.00536424209485743,0.339393939393939,0.644252184341271,TRUE,4,4,"distinctive_prevalence"
3,"C3",68,443,610,"a9044915-8be3-4c7e-b11f-9e2d2ea0a91e","Megadeth","https://musicbrainz.org/artist/a9044915-8be3-4c7e-b11f-9e2d2ea0a91e",46,0.676470588235294,45,0.101580135440181,91,0.178082191780822,0.574890452795114,6.57620640229336,2.8959321756563,4067,0.00290072764257215,0.505494505494505,0.864951084644832,TRUE,5,5,"distinctive_prevalence"
4,"C4",62,449,822,"f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62","T.I.","https://musicbrainz.org/artist/f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62",39,0.629032258064516,38,0.0846325167037862,77,0.150684931506849,0.54439974136073,7.32838589981447,2.88845102958035,1987,0.00170433296850715,0.506493506493506,0.815346737792368,TRUE,1,1,"distinctive_prevalence"
4,"C4",62,449,553,"0638ba22-040f-438d-83a5-9b670c4adaf5","Ludacris","https://musicbrainz.org/artist/0638ba22-040f-438d-83a5-9b670c4adaf5",41,0.661290322580645,55,0.122494432071269,96,0.187866927592955,0.538795890509376,5.34105534105534,2.61887661163658,1257,0.00107818145013261,0.427083333333333,0.525941422594142,TRUE,2,2,"distinctive_prevalence"
4,"C4",62,449,793,"3414d446-735a-443c-931f-10634f57e5b9","Usher","https://musicbrainz.org/artist/3414d446-735a-443c-931f-10634f57e5b9",38,0.612903225806452,41,0.0913140311804009,79,0.154598825831703,0.521589194626051,6.62650602409639,2.73878361080646,774,0.000663892157838216,0.481012658227848,0.565376186997809,TRUE,3,3,"distinctive_prevalence"
4,"C4",62,449,211,"f82bcf78-5b69-4622-a5ef-73800768d9ac","Jay-Z","https://musicbrainz.org/artist/f82bcf78-5b69-4622-a5ef-73800768d9ac",45,0.725806451612903,96,0.21380846325167,141,0.275929549902153,0.511997988361233,3.36787564766839,2.25385192201912,4106,0.00352188785540532,0.319148936170213,0.703925938625064,TRUE,4,4,"distinctive_prevalence"
4,"C4",62,449,580,"f4d4b515-0b74-423f-a161-db184330c37c","Gym Class Heroes","https://musicbrainz.org/artist/f4d4b515-0b74-423f-a161-db184330c37c",39,0.629032258064516,55,0.122494432071269,94,0.183953033268102,0.506537825993247,5.08365508365508,2.4805363702905,1651,0.00141613172169366,0.414893617021277,0.687057844361215,TRUE,5,5,"distinctive_prevalence"
5,"C5",35,476,870,"ccce2053-7007-4c36-b1e7-f8fcf5023a12","Dexys Midnight Runners","https://musicbrainz.org/artist/ccce2053-7007-4c36-b1e7-f8fcf5023a12",27,0.771428571428571,48,0.100840336134454,75,0.146771037181996,0.670588235294118,7.51288659793814,3.35284678127065,432,0.000502946076496701,0.36,0.672897196261682,TRUE,1,1,"distinctive_prevalence"
5,"C5",35,476,278,"b896aa8c-2761-40ce-b485-0e1fffd26167","Dusty Springfield","https://musicbrainz.org/artist/b896aa8c-2761-40ce-b485-0e1fffd26167",30,0.857142857142857,97,0.203781512605042,127,0.24853228962818,0.653361344537815,4.14487179487179,3.07198081020682,1390,0.00161827557020929,0.236220472440945,0.686080947680158,TRUE,2,2,"distinctive_prevalence"
5,"C5",35,476,499,"a35237a0-4f47-40a6-b6f3-1e786db23402","Rod Stewart","https://musicbrainz.org/artist/a35237a0-4f47-40a6-b6f3-1e786db23402",28,0.8,73,0.153361344537815,101,0.197651663405088,0.646638655462185,5.13775510204082,3.03789214822355,1207,0.00140522202391555,0.277227722772277,0.57394198763671,TRUE,3,3,"distinctive_prevalence"
5,"C5",35,476,309,"e9c832b0-384b-4ee6-aec0-111372784aac","The Pretenders","https://musicbrainz.org/artist/e9c832b0-384b-4ee6-aec0-111372784aac",29,0.828571428571429,94,0.197478991596639,123,0.240704500978474,0.63109243697479,4.13624338624339,2.91071690521108,843,0.000981443385385924,0.235772357723577,0.509365558912387,TRUE,4,4,"distinctive_prevalence"
5,"C5",35,476,768,"0509a681-a362-4800-9075-656041dccdbd","Squeeze","https://musicbrainz.org/artist/0509a681-a362-4800-9075-656041dccdbd",26,0.742857142857143,54,0.11344537815126,80,0.156555772994129,0.629411764705882,6.44266055045872,3.07384167951371,731,0.000851049958146038,0.325,0.362779156327543,TRUE,5,5,"distinctive_prevalence"
6,"C6",33,478,452,"7c158ea8-c0aa-410e-bdc1-20bba9759577","The Cinematic Orchestra","https://musicbrainz.org/artist/7c158ea8-c0aa-410e-bdc1-20bba9759577",32,0.96969696969697,73,0.152719665271967,105,0.205479452054795,0.816977304425003,6.22949179671869,4.7836104485642,2273,0.00511420908632731,0.304761904761905,0.635448700027956,TRUE,1,1,"distinctive_prevalence"
6,"C6",33,478,385,"b8c5cc4f-239f-4e02-b46f-b040b77c2030","Nightmares On Wax","https://musicbrainz.org/artist/b8c5cc4f-239f-4e02-b46f-b040b77c2030",32,0.96969696969697,80,0.167364016736402,112,0.219178082191781,0.802332952960568,5.68779685787359,4.67522529503328,781,0.00175723594211246,0.285714285714286,0.305914610262436,TRUE,2,2,"distinctive_prevalence"
6,"C6",33,478,607,"3231d12a-c42d-4977-b2a4-a6e4d87978e1","Tosca","https://musicbrainz.org/artist/3231d12a-c42d-4977-b2a4-a6e4d87978e1",30,0.909090909090909,62,0.129707112970711,92,0.180039138943249,0.779383796120198,6.87505882352941,4.06168361998254,649,0.00146023831809346,0.326086956521739,0.41390306122449,TRUE,3,3,"distinctive_prevalence"
6,"C6",33,478,493,"9a709693-b4f8-4da9-8cc1-038c911a61be","Bonobo","https://musicbrainz.org/artist/9a709693-b4f8-4da9-8cc1-038c911a61be",30,0.909090909090909,71,0.148535564853556,101,0.197651663405088,0.760555344237353,6.00966680378445,3.90530719809895,3084,0.00693894448844409,0.297029702970297,0.550223015165031,TRUE,4,4,"distinctive_prevalence"
6,"C6",33,478,679,"4f4bda3c-d636-4135-b65a-6cc26bc75788","Kosheen","https://musicbrainz.org/artist/4f4bda3c-d636-4135-b65a-6cc26bc75788",29,0.878787878787879,58,0.121338912133891,87,0.170254403131115,0.757448966653988,7.10432378079437,3.85273059174469,367,0.000825743394052848,0.333333333333333,0.29788961038961,TRUE,5,5,"distinctive_prevalence"
7,"C7",16,495,2198,"b4375768-3c8b-46e7-b578-c920ccfe725f","The Flying Burrito Brothers","https://musicbrainz.org/artist/b4375768-3c8b-46e7-b578-c920ccfe725f",16,1,22,0.0444444444444444,38,0.0743639921722113,0.955555555555556,21.3960784313725,6.54314416488224,293,0.000461604145299751,0.421052631578947,0.545623836126629,TRUE,1,1,"distinctive_prevalence"
7,"C7",16,495,1473,"ca5b38c2-f39d-45a4-ad3d-daf4448846ef","Howlin' Wolf","https://musicbrainz.org/artist/ca5b38c2-f39d-45a4-ad3d-daf4448846ef",16,1,36,0.0727272727272727,52,0.101761252446184,0.927272727272727,13.1893634165995,6.02933424267378,361,0.000568734117587748,0.307692307692308,0.558823529411765,TRUE,2,2,"distinctive_prevalence"
7,"C7",16,495,1393,"1d8010a0-b642-4c8f-9c8d-8dc66b7bb81a","Hank Williams, Jr.","https://musicbrainz.org/artist/1d8010a0-b642-4c8f-9c8d-8dc66b7bb81a",16,1,38,0.0767676767676768,54,0.105675146771037,0.923232323232323,12.5042016806723,5.97162620488832,267,0.000420642685307282,0.296296296296296,0.392070484581498,TRUE,3,3,"distinctive_prevalence"
7,"C7",16,495,1059,"a3212186-5da5-4e84-a935-6952b3e14921","Os Mutantes","https://musicbrainz.org/artist/a3212186-5da5-4e84-a935-6952b3e14921",16,1,49,0.098989898989899,65,0.12720156555773,0.901010101010101,9.72549019607843,5.69597429220839,517,0.000814502877542564,0.246153846153846,0.383815887156644,TRUE,4,4,"distinctive_prevalence"
7,"C7",16,495,2342,"95bb27d2-43c7-4a92-85ee-f95a245f0ee4","John Fahey","https://musicbrainz.org/artist/95bb27d2-43c7-4a92-85ee-f95a245f0ee4",15,0.9375,21,0.0424242424242424,36,0.0704500978473581,0.895075757575758,21.0341997264022,5.4295835987334,397,0.000625449985269629,0.416666666666667,0.737918215613383,TRUE,5,5,"distinctive_prevalence"
