movie_id,title,intro,year,region,type,language,main_genre,all_genres,inferred_type,is_festival,festival_name,festival_class
35413042,"怒呛人生 / Beef
                             / 怀恨在心 / 牢骚",2023-04-06(美国) / 史蒂文·元 / 黄阿丽 / 约瑟夫·李 / 扬·马齐诺 / 雷米·霍尔特 / 崔大卫 / 佩蒂·安武 / 阿什利·朴 / 玛丽亚·贝罗 / 贾斯汀·闵 / 安德鲁·桑提诺 / 米娅·塞拉菲诺 / 埃迪·辛 / 提姆·乔 / 伯纳德·怀特 / 凯拉布莱克 / 艾农·斯凯 / 余朝汉 / 吴辛惠 / 彼得·布雷特曼耶 / 布拉德·李·温德 / 红桃 / 罗科·马西希 / Derron Ross / 米娅·切赫 / 杰斯滕·马里康达 / 伊娃·拉·戴尔 / Mark Weiler / Zandy Hartig / 索菲亚·布伊 / 丹·华纳 / 尼卡恩·罗宾逊 / 美国 / 宮崎光代 / 杰克·施莱尔 / 李成真 / 牢骚 / 40分钟 / 怒呛人生 / 剧情 / 喜剧 / 李成真 Sonny Lee / 凯莉·肯珀 Carrie Kemper / 亚历克斯·罗素 / 玛丽·汉洪·阮 / 尼科·古铁雷斯-科夫纳 / 乔安娜·卡洛 / 凯文·罗森 / 简·基昂·弗雷泽 / 爱丽丝·朱 Alice Ju / 英语,2023.0,USA,,English,Comedy,"['Drama', 'Comedy']",Movie,False,,
35383926,"山河之影
                             / 绣春刀·山河之影 / 绣春刀 山河之影
                        
[可播放]",2023-03-28(中国大陆) / 张云龙 / 陈若轩 / 孙怡 / 此沙 / 马渝捷 / 上白 / 尹铸胜 / 杨轶 / 杨博潇 / 苏豪 / 芮丹尼 / 高铭辰 / 葛凡之 / 胡宝森 / 中国大陆 / 李毅 / 曹华 / 45分钟 / 爱情 / 武侠 / 古装 / 李毅 Yi Li / 徐伊亮 Yiliang Xu / 袁漫潇 Manxiao Yuan / 严钰千 Yuqian Yan / 董芳辰 / 应志南 / 胡婷 Ting Hu / 汉语普通话,2023.0,Mainland China,,Mandarin,Costume,"['Romance', 'Martial Arts', 'Costume']",Movie,False,,
35372742,"无名
                             / Hidden Blade
                        
[可播放]",2023-01-22(中国大陆) / 梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史  / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓  / 三浦研一 / 吴映 / 李欣 / 徐婧荧 / 佐佐木智大 / 木村顺傑 / 川上和文 / 王华健 / 杨昭月 / 苏阳 / 姚香于 / 刘俊明 / 刘一舟 / 卢泽天 / 于志庆 / 李永飞 / 毛纪明 / 薛宽 / 刘旭 / 韩姝妹 / 夏志卿 / 小柴 / 查理 / 大宝 / 中国大陆 / 程耳 / 128分钟 / 剧情 / 历史 / 悬疑 / 程耳 Er Cheng / 汉语普通话 / 沪语 / 粤语 / 日语,2023.0,Mainland China,,Japanese,Mystery,"['Drama', 'History', 'Mystery']",Movie,False,,
36016466,"展开说说
                             / What Sisters Say / 姐姐，这是可以说的吗？
                        
[可播放]",2023-02-03(中国大陆网络) / 杨笠 / 杨天真 / 易立竞 / 傅首尔 / 董宝石 / 春夏 / 李诞 / 刘擎 / 马伊琍 / 庞博 / 王昱珩 / 吴莫愁 / 周震南 / 中国大陆 / 45分钟 / 真人秀 / 刘娴 / 汉语普通话,2023.0,Mainland China,Reality Show,Mandarin,,[],Reality Show,False,,
35651927,"模仿犯
                             / Copycat Killer",2023-03-31(中国台湾) / 吴慷仁 / 柯佳嬿 / 林心如 / 庹宗华 / 姚淳耀 / 范少勋 / 江宜蓉 / 夏腾宏 / 侯彦西 / 汤志伟 / 吴岱凌 / 盛鉴 / 刘亮佐 / 黄河 / 陆夏 / 李亦捷 / 陈博正 / 曹芯瑜 / 邱偲琹 / 游安顺 / 王真琳 / 段钧豪 / 郑家榆 / 睦媄 / 徐裕杰 / 王道南 / 劉昌翰 / 林明森 / 周明宇 / 中国台湾 / 张荣吉 / 张亨如 / 55分钟 / 剧情 / 犯罪 / 悬疑 / 马克明 Keming Ma / 汉语普通话,2023.0,Taiwan,,Mandarin,Crime,"['Drama', 'Crime', 'Mystery']",Movie,False,,
34948595,"脐带
                             / 漫游在蓝色草原 / The Cord of Life
                        
[可播放]",2022-10-25(东京国际电影节) / 2022-12-23(海南岛国际电影节) / 2023-03-18(中国大陆) / 巴德玛 / 伊德尔 / 娜荷芽 / 苏日雅 / 卓拉 / 中国大陆 / 乔思雪 / 96分钟 / 剧情 / 家庭 / 乔思雪 Sixue Qiao / 蒙古语 / 汉语普通话,2022.0,Mainland China,,Mandarin,Family,"['Drama', 'Family']",Movie,True,东京国际电影节,Regional-Global
35800382,"花路阿朱妈 / 아줌마
                             / 大妈 / Ajoomma",2022-10-06(釜山电影节) / 2022-10-27(新加坡) / 洪慧芳 / 姜亨硕 / 郑栋焕 / 包勋评 / 吕珍九 / 新加坡 / 何书铭 / 90分钟 / 花路阿朱妈 / 剧情 / 喜剧 / 何书铭 / 翁诗杰 / 汉语普通话 / 韩语 / 英语 / 闽南语,2022.0,,,闽南语,Comedy,"['Drama', 'Comedy']",Movie,True,釜山电影节,Regional-Global
36156688,À Table！~跟着古代食谱学做菜 / À Table！～歴史のレシピを作ってたべる～,2023-01-09(日本) / 市川实日子 / 中岛步 / 水木薫 / 神野三铃 / 安藤裕子 / 芋生悠 / 安奈淳 / 日本 / 吉见拓真 / 30分 / À Table！~跟着古代食谱学做菜 / 横幕智裕 Tomohiro Yokomaku / 日语,2023.0,Japan,,Japanese,,[],Movie,False,,
27199894,"超级马力欧兄弟大电影 / The Super Mario Bros. Movie
                             / 超级马里奥兄弟 / 超级玛利欧兄弟电影版(台)",2023-04-05(美国/中国大陆) / 2023-04-27(日本) / 克里斯·帕拉特 / 安雅·泰勒-乔伊 / 查理·戴 / 杰克·布莱克 / 科甘-迈克尔·凯 / 塞斯·罗根 / 弗莱德·阿米森 / 凯文·迈克尔·理查德森 / 朱丽叶·杰勒尼克 / 塞巴斯蒂安·马尼斯科 / 卡里·佩顿 / 查尔斯·马丁内斯 / 杰西卡·迪西可 / 里诺·罗马诺 / 约翰·迪·马吉欧 / 艾瑞克·鲍扎 / 斯科特·门维尔 / 卡洛斯·阿拉斯拉奇 / 雅士利·伯奇 / 雷切尔·巴特拉 / 凯茜·卡瓦蒂妮 / 亚伦·亨德利 / 安迪·赫希 / 菲尔·拉马 / 杰里米·马克斯韦尔 / 埃里克·奥斯蒙德 / 李·肖顿 / 克里·萨莫 / 美国 / 日本 / 亚伦·霍瓦斯 / 迈克尔·杰勒尼克 / 92分钟 / 超级马力欧兄弟大电影 / 喜剧 / 爱情 / 科幻 / 动画 / 奇幻 / 冒险 / 马修·福格尔 Matthew Fogel / 英语,2023.0,Japan,,English,2Animation,"['Comedy', 'Romance', 'Sci-Fi', '2Animation', 'Fantasy', '1Adventure']",TV Series,False,,
36021623,"第三次世界大战 / جنگ جهانی سوم
                             / 片场风云 / 片场风暴(台)",2022-09-07(威尼斯电影节) / 莫森·坦纳班德 / 玛莎·海亚齐 / 内达·吉布拉伊利 / 伊朗 / 哈曼·赛耶迪 / 107分钟 / 第三次世界大战 / 剧情 / 犯罪 / 哈曼·赛耶迪 Hooman Seyedi / 阿日安·瓦兹达夫塔里 Arian Vazirdaftari / 阿扎德·贾法里安 Azad Jafarian / 波斯语 / 德语,2022.0,,,German,Crime,"['Drama', 'Crime']",Movie,True,威尼斯电影节,A-list
