movie_id,title,intro,year,region,inferred_type,language,main_genre,all_genres,festival_name,festival_class,length
10047547,"饥饿游戏3：嘲笑鸟(下) / The Hunger Games: Mockingjay - Part 2
                             / 饥饿游戏：自由幻梦最终章(台) / 饥饿游戏终极篇：自由幻梦2(港)
                        
[可播放]",2015-11-20(美国) / 2015-11-20(中国大陆) / 詹妮弗·劳伦斯 / 乔什·哈切森 / 利亚姆·海姆斯沃斯 / 伍迪·哈里森 / 伊丽莎白·班克斯 / 朱丽安·摩尔 / 菲利普·塞默·霍夫曼 / 杰弗里·怀特 / 斯坦利·图齐 / 唐纳德·萨瑟兰 / 托比·琼斯 / 山姆·克拉弗林 / 吉娜·马隆 / 娜塔莉·多默尔 / 伊万·罗斯 / 马赫沙拉·阿里 / 罗伯特·克耐普 / 格温多兰·克里斯蒂 / 奥米德·阿布塔西 / 埃尔登·汉森 / 斯黛芬·道森 / 伊齐·费内奇 / 蒂芬妮·弗拉斯 / Lauren Henneberg / 加里·西弗斯 / 美国 / www.thehungergames.movie / 弗朗西斯·劳伦斯 / 136分钟 / 饥饿游戏3：嘲笑鸟(下) / 动作 / 科幻 / 冒险 / 丹尼·斯特朗 Danny Strong / 彼得·克莱格 Peter Craig / 英语,2015,USA,Movie,English,Sci-Fi,"['Action', 'Sci-Fi', '1Adventure']",,,136.0
10428501,"新·福音战士剧场版：终 / シン・エヴァンゲリオン劇場版:│▌
                             / 新·福音战士剧场版:│▌ / Evangelion: 3.0+1.0",2021-03-08(日本) / 2021-08-13(美国网络) / 绪方惠美 / 林原惠美 / 宫村优子 / 石田彰 / 坂本真绫 / 三石琴乃 / 山口由里子 / 立木文彦 / 清川元梦 / 关智一 / 岩永哲哉 / 岩男润子 / 长泽美树 / 子安武人 / 优希比吕 / 大塚明夫 / 泽城美雪 / 大原沙耶香 / 伊濑茉莉也 / 胜杏里 / 山寺宏一 / 内山昂辉 / 川田绅司 / 兴津和幸 / 下山吉光 / 星野充昭 / 佐藤蓝 / 泷泽罗子 / 堀越真己 / 八百屋杏 / 斋藤千和 / 小野冢贵志 / 仪武祐子 / 手冢弘道 / 塙爱美 / 中务贵幸 / 中村源太 / 武藏真之介 / 新祐树 / 前田玲奈 / 村田知沙 / 虎岛贵明 / 神木隆之介 / 日本 / evangelion.co.jp/final.html / 庵野秀明 / 鹤卷和哉 / 中山胜一 / 前田真宏 / 154分钟 / 新·福音战士剧场版：终 / 剧情 / 科幻 / 动画 / 庵野秀明 Hideaki Anno / 日语,2021,Japan,Animation,Japanese,2Animation,"['Drama', 'Sci-Fi', '2Animation']",,,154.0
10437779,"新世界 / 신세계
                             / 暗黑新世界(台) / New World
                        
[可播放]",2013-02-21(韩国) / 李政宰 / 崔岷植 / 黄政民 / 宋智孝 / 朴成雄 / 金秉玉 / 金胤成 / 孙炳熙 / 利禹镇 / 权泰浩 / 申惠贞 / 李璟荣 / 许明行 / 崔济宪 / 车容学 / 咸真圣 / 韩载德 / 李熙硕 / 李景宪 / 成洛京 / 朴仁秀 / 崔禹亨 / 安秀浩 / 马东锡 / 张光 / 崔日华 / 朱进模 / 郑煐禥 / 郑基燮 / 朴智勋 / 柳圣贤 / 申成日 / 郑载宪 / 金弘波 / 廉东铉 / 韩国 / sinsegae2013.co.kr / 朴勋政 / 134分钟 / 新世界 / 剧情 / 犯罪 / 朴勋政 Hoon-jung Park / 韩语 / 汉语普通话,2013,South Korea,Movie,Mandarin,Crime,"['Drama', 'Crime']",,,134.0
10438426,"浮城谜事
                             / 谜 / Mystery
                        
[可播放]",2012-10-19(中国大陆) / 2013-05-03(中国台湾) / 郝蕾 / 秦昊 / 齐溪 / 朱亚文 / 祖峰 / 常方源 / 瞿颖 / 吴伟 / 余龙钢 / 中国大陆 / 法国 / 娄烨 / 98分钟 / 剧情 / 犯罪 / 梅峰 Feng Mei / 娄烨 Ye Lou / 于帆 Fan Yu / 汉语普通话,2012,Mainland China,Movie,Mandarin,Crime,"['Drama', 'Crime']",,,98.0
10438581,"芭芭拉 / Barbara
                             / 女医生的秘密(港) / 被恋爱的秘密(港)
                        
[可播放]",2012-02-11(柏林电影节) / 2012-03-08(德国) / 尼娜·霍斯 / 罗纳尔德·策尔费尔德 / 雅尼克·许曼 / 艾丽西娅·冯·里特贝格 / 贾斯娜·弗里茨·鲍尔 / 苏珊妮·博曼 / 马克·瓦斯科 / 德国 / 克里斯蒂安·佩措尔德 / 105分钟 / 芭芭拉 / 剧情 / 克利斯蒂安·佩措尔德 Christian Petzold / 德语,2012,Germany,Movie,German,Drama,['Drama'],柏林电影节,A-list,105.0
10438922,"少年马力傲的烦恼

[可播放]",中国大陆 / 孔大山 / 27’47mins / 短片 / 孔大山 Dashan Kong / 汉语普通话,,Mainland China,Short,Mandarin,,[],,,
10441085,"我饥肠辘辘，我寒冷难耐 / J'ai faim, j'ai froid
                             / I'm Hungry, I'm Cold",玛丽亚·德·梅黛洛 / 法国 / 香特尔·阿克曼 / 12分钟 / 我饥肠辘辘，我寒冷难耐 / 短片 / 法语,,France,Short,French,,[],,,12.0
10463953,"模仿游戏 / The Imitation Game
                             / 解码游戏(港) / 模拟游戏
                        
[可播放]",2014-08-29(特柳赖德电影节) / 2014-11-14(英国) / 2014-12-25(美国) / 2015-07-21(中国大陆) / 本尼迪克特·康伯巴奇 / 凯拉·奈特莉 / 马修·古迪 / 罗里·金尼尔 / 艾伦·里奇 / 马修·比尔德 / 查尔斯·丹斯 / 马克·斯特朗 / 詹姆斯·诺斯科特 / 汤姆·古德曼-希尔 / 史蒂芬·威丁顿 / 伊兰·古德曼 / 杰克·塔尔登 / 埃里克斯·劳瑟 / 杰克·巴农 / 塔彭丝·米德尔顿 / 安德鲁·哈维尔 / 维尔·博登 / 李·阿斯奎斯-柯 / 海莉·乔安妮·培根 / 安库塔·布雷班 / 格雷斯·卡尔德 / 理查德·坎贝尔 / 温斯顿·丘吉尔 / 克里斯·考林 / 汉娜·弗林 / 卢克·霍普 / 斯图尔特·马修斯 / 亚当·诺威尔 / 哈里·S·杜鲁门 / 蒂姆·斯蒂德 / 劳伦斯·肯尼迪 / 蒂姆·范·艾肯 / 维多利亚·威克斯 / 英国 / 美国 / 莫滕·泰杜姆 / 114分钟 / 模仿游戏 / 剧情 / 传记 / 战争 / 同性 / 格拉汉姆·摩尔 Graham Moore / 安德鲁·霍奇斯 Andrew Hodges / 英语 / 德语,2014,UK,Movie,German,1LGBTQ+,"['Drama', 'Biography', '2War', '1LGBTQ+']",特柳赖德电影节,Niche,114.0
10484041,"横道世之介
                             / 那年遇上世之介(港) / A Story of Yonosuke
                        
[可播放]",2013-02-23(日本) / 高良健吾 / 吉高由里子 / 池松壮亮 / 伊藤步 / 绫野刚 / 井浦新 / 国村隼 / 堀内敬子 / 古关安广 / 余贵美子 / 朝仓亚纪 / 柄本佑 / 江口德子 / 佐津川爱美 / 真岛秀和 / 黑川芽以 / 涩川清彦 / 中岛步 / 日本 / 冲田修一 / 160分钟 / 剧情 / 爱情 / 冲田修一 Shûichi Okita / 前田司郎 Shirô Maeda / 吉田修一 Shûichi Yoshida / 日语,2013,Japan,Movie,Japanese,Romance,"['Drama', 'Romance']",,,160.0
10485526,"潜伏2 / Insidious: Chapter 2
                             / 儿凶2(港) / 儿凶续集(港)
                        
[可播放]",2013-09-13(美国) / 帕特里克·威尔森 / 罗丝·伯恩 / 泰·辛普金斯 / 林·沙烨 / 芭芭拉·赫希 / 斯蒂芬·考特尔 / 雷·沃纳尔 / 安格斯·桑普森 / 安德鲁·阿斯特 / 汉克·哈里斯 / 乔赛琳·唐娜休 / 琳赛·塞姆 / 丹尼尔·比苏蒂 / 泰勒·格里芬 / 加雷特·瑞安 / 珍娜·奥尔特加 / 波姬·皮普尔斯 / 史蒂芬妮·皮尔森 / 西耶娜·法拉尔 / 迈克尔·比奇 / 普莉希拉加里塔 / J·拉罗斯 / 美国 / 加拿大 / www.insidiousch2.com / 温子仁 / 106分钟 / 潜伏2 / 惊悚 / 恐怖 / 雷·沃纳尔 Leigh Whannell / 温子仁 James Wan / 英语,2013,USA,Movie,English,1Horror,"['2Thriller', '1Horror']",,,106.0
